Infinitive,взбеси́ть
Zaliznyak Class,4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,взбеси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взбешённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взбеси́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,взбеси́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,взбешу́
2nd Sing,взбе́сишь
3rd Sing,взбе́сит
1st Pl,взбе́сим
2nd Pl,взбе́сите
3rd Pl,взбе́сят
Past M,взбеси́л
Past F,взбеси́ла
Past N,взбеси́ло
Past PL,взбеси́ли
Imp S,взбеси́
Imp PL,взбеси́те
