Infinitive,взмы́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,взмы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взмы́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,взмы́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,взмо́ю
2nd Sing,взмо́ешь
3rd Sing,взмо́ет
1st Pl,взмо́ем
2nd Pl,взмо́ете
3rd Pl,взмо́ют
Past M,взмы́л
Past F,взмы́ла
Past N,взмы́ло
Past PL,взмы́ли
Imp S,взмо́й
Imp PL,взмо́йте
