Infinitive,взве́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,взве́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взве́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взве́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,взве́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,взве́шу
2nd Sing,взве́сишь
3rd Sing,взве́сит
1st Pl,взве́сим
2nd Pl,взве́сите
3rd Pl,взве́сят
Past M,взве́сил
Past F,взве́сила
Past N,взве́сило
Past PL,взве́сили
Imp S,взве́сь
Imp PL,взве́сьте
