Infinitive,взрасти́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,взрасти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взращённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взрасти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,взрасти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,взращу́
2nd Sing,взрасти́шь
3rd Sing,взрасти́т
1st Pl,взрасти́м
2nd Pl,взрасти́те
3rd Pl,взрастя́т
Past M,взрасти́л
Past F,взрасти́ла
Past N,взрасти́ло
Past PL,взрасти́ли
Imp S,взрасти́
Imp PL,взрасти́те
