Infinitive,взбеси́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,взбеси́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взбеси́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,взбешу́сь
2nd Sing,взбе́сишься
3rd Sing,взбе́сится
1st Pl,взбе́симся
2nd Pl,взбе́ситесь
3rd Pl,взбе́сятся
Past M,взбеси́лся
Past F,взбеси́лась
Past N,взбеси́лось
Past PL,взбеси́лись
Imp S,взбеси́сь
Imp PL,взбеси́тесь
