Infinitive,взви́згнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,взви́згнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взви́згнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,взви́згнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,взви́згну
2nd Sing,взви́згнешь
3rd Sing,взви́згнет
1st Pl,взви́згнем
2nd Pl,взви́згнете
3rd Pl,взви́згнут
Past M,взви́згнул
Past F,взви́згнула
Past N,взви́згнуло
Past PL,взви́згнули
Imp S,взви́згни
Imp PL,взви́згните
