Infinitive,вздра́гивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вздра́гивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вздра́гивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вздра́гивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вздра́гивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,вздра́гивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,вздра́гиваю
2nd Sing,вздра́гиваешь
3rd Sing,вздра́гивает
1st Pl,вздра́гиваем
2nd Pl,вздра́гиваете
3rd Pl,вздра́гивают
Past M,вздра́гивал
Past F,вздра́гивала
Past N,вздра́гивало
Past PL,вздра́гивали
Imp S,вздра́гивай
Imp PL,вздра́гивайте
