Infinitive,взреве́ть
Zaliznyak Class,irreg-b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,взреве́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взреве́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,взреве́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,взреву́
2nd Sing,взревёшь
3rd Sing,взревёт
1st Pl,взревём
2nd Pl,взревёте
3rd Pl,взреву́т
Past M,взреве́л
Past F,взреве́ла
Past N,взреве́ло
Past PL,взреве́ли
Imp S,взреви́
Imp PL,взреви́те
