Infinitive,взгромозди́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,взгромозди́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взгромозди́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,взгромозжу́сь
2nd Sing,взгромозди́шься
3rd Sing,взгромозди́тся
1st Pl,взгромозди́мся
2nd Pl,взгромозди́тесь
3rd Pl,взгромоздя́тся
Past M,взгромозди́лся
Past F,взгромозди́лась
Past N,взгромозди́лось
Past PL,взгромозди́лись
Imp S,взгромозди́сь
Imp PL,взгромозди́тесь
