Infinitive,вздыха́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вздыха́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вздыха́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вздыха́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вздыха́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,вздыха́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,вздыха́ю
2nd Sing,вздыха́ешь
3rd Sing,вздыха́ет
1st Pl,вздыха́ем
2nd Pl,вздыха́ете
3rd Pl,вздыха́ют
Past M,вздыха́л
Past F,вздыха́ла
Past N,вздыха́ло
Past PL,вздыха́ли
Imp S,вздыха́й
Imp PL,вздыха́йте
