Infinitive,взрыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,взрыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,взрыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взрыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,взрыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,взрыва́юсь
2nd Sing,взрыва́ешься
3rd Sing,взрыва́ется
1st Pl,взрыва́емся
2nd Pl,взрыва́етесь
3rd Pl,взрыва́ются
Past M,взрыва́лся
Past F,взрыва́лась
Past N,взрыва́лось
Past PL,взрыва́лись
Imp S,взрыва́йся
Imp PL,взрыва́йтесь
