Infinitive,взя́ться
Zaliznyak Class,14b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,взя́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взя́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,возьму́сь
2nd Sing,возьмёшься
3rd Sing,возьмётся
1st Pl,возьмёмся
2nd Pl,возьмётесь
3rd Pl,возьму́тся
Past M,взя́лся
Past F,взяла́сь
Past N,взяло́сь
Past PL,взяли́сь
Imp S,возьми́сь
Imp PL,возьми́тесь
