Infinitive,взойти́
Zaliznyak Class,irreg-b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,взоше́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взойдя́
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,взоше́дши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,взойду́
2nd Sing,взойдёшь
3rd Sing,взойдёт
1st Pl,взойдём
2nd Pl,взойдёте
3rd Pl,взойду́т
Past M,взошёл
Past F,взошла́
Past N,взошло́
Past PL,взошли́
Imp S,взойди́
Imp PL,взойди́те
