Infinitive,взмыва́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,взмыва́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,взмыва́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взмыва́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,взмыва́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,взмыва́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,взмыва́ю
2nd Sing,взмыва́ешь
3rd Sing,взмыва́ет
1st Pl,взмыва́ем
2nd Pl,взмыва́ете
3rd Pl,взмыва́ют
Past M,взмыва́л
Past F,взмыва́ла
Past N,взмыва́ло
Past PL,взмыва́ли
Imp S,взмыва́й
Imp PL,взмыва́йте
