Infinitive,взорва́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,взорва́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взорва́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,взорву́сь
2nd Sing,взорвёшься
3rd Sing,взорвётся
1st Pl,взорвёмся
2nd Pl,взорвётесь
3rd Pl,взорву́тся
Past M,взорва́лся
Past F,взорвала́сь
Past N,взорвало́сь
Past PL,взорвали́сь
Imp S,взорви́сь
Imp PL,взорви́тесь
