Infinitive,взъеро́шить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,взъеро́шивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взъеро́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взъеро́шив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,взъеро́шивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,взъеро́шу
2nd Sing,взъеро́шишь
3rd Sing,взъеро́шит
1st Pl,взъеро́шим
2nd Pl,взъеро́шите
3rd Pl,взъеро́шат
Past M,взъеро́шил
Past F,взъеро́шила
Past N,взъеро́шило
Past PL,взъеро́шили
Imp S,взъеро́шь
Imp PL,взъеро́шьте
