Infinitive,взду́мать
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,взду́мавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взду́мав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,взду́мавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,взду́маю
2nd Sing,взду́маешь
3rd Sing,взду́мает
1st Pl,взду́маем
2nd Pl,взду́маете
3rd Pl,взду́мают
Past M,взду́мал
Past F,взду́мала
Past N,взду́мало
Past PL,взду́мали
Imp S,взду́май
Imp PL,взду́майте
