Infinitive,взбрести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,взбре́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взбредя́
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,взбре́дши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,взбреду́
2nd Sing,взбредёшь
3rd Sing,взбредёт
1st Pl,взбредём
2nd Pl,взбредёте
3rd Pl,взбреду́т
Past M,взбрёл
Past F,взбрела́
Past N,взбрело́
Past PL,взбрели́
Imp S,взбреди́
Imp PL,взбреди́те
