Infinitive,взду́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,взду́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взду́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,взду́юсь
2nd Sing,взду́ешься
3rd Sing,взду́ется
1st Pl,взду́емся
2nd Pl,взду́етесь
3rd Pl,взду́ются
Past M,взду́лся
Past F,взду́лась
Past N,взду́лось
Past PL,взду́лись
Imp S,взду́йся
Imp PL,взду́йтесь
