Infinitive,взыгра́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,взыгра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взыгра́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,взыгра́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,взыгра́ю
2nd Sing,взыгра́ешь
3rd Sing,взыгра́ет
1st Pl,взыгра́ем
2nd Pl,взыгра́ете
3rd Pl,взыгра́ют
Past M,взыгра́л
Past F,взыгра́ла
Past N,взыгра́ло
Past PL,взыгра́ли
Imp S,взыгра́й
Imp PL,взыгра́йте
