Infinitive,взволнова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,взволнова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взволно́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взволнова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,взволнова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,взволну́ю
2nd Sing,взволну́ешь
3rd Sing,взволну́ет
1st Pl,взволну́ем
2nd Pl,взволну́ете
3rd Pl,взволну́ют
Past M,взволнова́л
Past F,взволнова́ла
Past N,взволнова́ло
Past PL,взволнова́ли
Imp S,взволну́й
Imp PL,взволну́йте
