Infinitive,взобра́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,взобра́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взобра́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,взберу́сь
2nd Sing,взберёшься
3rd Sing,взберётся
1st Pl,взберёмся
2nd Pl,взберётесь
3rd Pl,взберу́тся
Past M,взобра́лся
Past F,взобрала́сь
Past N,взобрало́сь
Past PL,взобрали́сь
Imp S,взбери́сь
Imp PL,взбери́тесь
