Infinitive,взбежа́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,взбежа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взбежа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,взбежа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,взбегу́
2nd Sing,взбежи́шь
3rd Sing,взбежи́т
1st Pl,взбежи́м
2nd Pl,взбежи́те
3rd Pl,взбегу́т
Past M,взбежа́л
Past F,взбежа́ла
Past N,взбежа́ло
Past PL,взбежа́ли
Imp S,взбеги́
Imp PL,взбеги́те
