Infinitive,взмахну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,взмахну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взмахну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,взмахну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,взмахну́
2nd Sing,взмахнёшь
3rd Sing,взмахнёт
1st Pl,взмахнём
2nd Pl,взмахнёте
3rd Pl,взмахну́т
Past M,взмахну́л
Past F,взмахну́ла
Past N,взмахну́ло
Past PL,взмахну́ли
Imp S,взмахни́
Imp PL,взмахни́те
