Infinitive,взорва́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,взорва́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взо́рванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взорва́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,взорва́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,взорву́
2nd Sing,взорвёшь
3rd Sing,взорвёт
1st Pl,взорвём
2nd Pl,взорвёте
3rd Pl,взорву́т
Past M,взорва́л
Past F,взорвала́
Past N,взорва́ло
Past PL,взорва́ли
Imp S,взорви́
Imp PL,взорви́те
