Infinitive,взросле́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,взросле́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,взросле́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взросле́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,взросле́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,взросле́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,взросле́ю
2nd Sing,взросле́ешь
3rd Sing,взросле́ет
1st Pl,взросле́ем
2nd Pl,взросле́ете
3rd Pl,взросле́ют
Past M,взросле́л
Past F,взросле́ла
Past N,взросле́ло
Past PL,взросле́ли
Imp S,взросле́й
Imp PL,взросле́йте
