Infinitive,взвести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,взве́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взведённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взведя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,взве́дши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,взведу́
2nd Sing,взведёшь
3rd Sing,взведёт
1st Pl,взведём
2nd Pl,взведёте
3rd Pl,взведу́т
Past M,взвёл
Past F,взвела́
Past N,взвело́
Past PL,взвели́
Imp S,взведи́
Imp PL,взведи́те
