Infinitive,взви́ться
Zaliznyak Class,11*b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,взви́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взви́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,взовью́сь
2nd Sing,взовьёшься
3rd Sing,взовьётся
1st Pl,взовьёмся
2nd Pl,взовьётесь
3rd Pl,взовью́тся
Past M,взви́лся
Past F,взвила́сь
Past N,взвило́сь
Past PL,взвили́сь
Imp S,взве́йся
Imp PL,взве́йтесь
