Infinitive,взвы́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,взвы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взвы́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,взвы́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,взво́ю
2nd Sing,взво́ешь
3rd Sing,взво́ет
1st Pl,взво́ем
2nd Pl,взво́ете
3rd Pl,взво́ют
Past M,взвы́л
Past F,взвы́ла
Past N,взвы́ло
Past PL,взвы́ли
Imp S,взво́й
Imp PL,взво́йте
