Infinitive,взмо́кнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,взмо́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взмо́кши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,взмо́кну
2nd Sing,взмо́кнешь
3rd Sing,взмо́кнет
1st Pl,взмо́кнем
2nd Pl,взмо́кнете
3rd Pl,взмо́кнут
Past M,взмо́к
Past F,взмо́кла
Past N,взмо́кло
Past PL,взмо́кли
Imp S,взмо́кни
Imp PL,взмо́кните
