Infinitive,взбунтова́ться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,взбунтова́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взбунтова́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,взбунту́юсь
2nd Sing,взбунту́ешься
3rd Sing,взбунту́ется
1st Pl,взбунту́емся
2nd Pl,взбунту́етесь
3rd Pl,взбунту́ются
Past M,взбунтова́лся
Past F,взбунтова́лась
Past N,взбунтова́лось
Past PL,взбунтова́лись
Imp S,взбунту́йся
Imp PL,взбунту́йтесь
