Infinitive,взви́згивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,взви́згивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,взви́згивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взви́згивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,взви́згивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,взви́згивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,взви́згиваю
2nd Sing,взви́згиваешь
3rd Sing,взви́згивает
1st Pl,взви́згиваем
2nd Pl,взви́згиваете
3rd Pl,взви́згивают
Past M,взви́згивал
Past F,взви́згивала
Past N,взви́згивало
Past PL,взви́згивали
Imp S,взви́згивай
Imp PL,взви́згивайте
