Infinitive,взыска́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,взыска́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взы́сканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взыска́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,взыска́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,взыщу́
2nd Sing,взы́щешь
3rd Sing,взы́щет
1st Pl,взы́щем
2nd Pl,взы́щете
3rd Pl,взы́щут
Past M,взыска́л
Past F,взыска́ла
Past N,взыска́ло
Past PL,взыска́ли
Imp S,взыщи́
Imp PL,взыщи́те
