Infinitive,взбега́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,взбега́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,взбега́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взбега́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,взбега́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,взбега́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,взбега́ю
2nd Sing,взбега́ешь
3rd Sing,взбега́ет
1st Pl,взбега́ем
2nd Pl,взбега́ете
3rd Pl,взбега́ют
Past M,взбега́л
Past F,взбега́ла
Past N,взбега́ло
Past PL,взбега́ли
Imp S,взбега́й
Imp PL,взбега́йте
