Infinitive,взба́лтывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,взба́лтывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,взба́лтывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взба́лтываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,взба́лтывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,взба́лтывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,взба́лтывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,взба́лтываю
2nd Sing,взба́лтываешь
3rd Sing,взба́лтывает
1st Pl,взба́лтываем
2nd Pl,взба́лтываете
3rd Pl,взба́лтывают
Past M,взба́лтывал
Past F,взба́лтывала
Past N,взба́лтывало
Past PL,взба́лтывали
Imp S,взба́лтывай
Imp PL,взба́лтывайте
