Infinitive,взды́бить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,взды́бивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взды́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взды́бив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,взды́бивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,взды́блю
2nd Sing,взды́бишь
3rd Sing,взды́бит
1st Pl,взды́бим
2nd Pl,взды́бите
3rd Pl,взды́бят
Past M,взды́бил
Past F,взды́била
Past N,взды́било
Past PL,взды́били
Imp S,взды́бь
Imp PL,взды́бьте
