Infinitive,вздро́гнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вздро́гнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вздро́гнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вздро́гнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вздро́гну
2nd Sing,вздро́гнешь
3rd Sing,вздро́гнет
1st Pl,вздро́гнем
2nd Pl,вздро́гнете
3rd Pl,вздро́гнут
Past M,вздро́гнул
Past F,вздро́гнула
Past N,вздро́гнуло
Past PL,вздро́гнули
Imp S,вздро́гни
Imp PL,вздро́гните
