Infinitive,взвинти́ть
Zaliznyak Class,4b⑧ // 4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,взвинти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взви́нченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взвинти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,взвинти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,взвинчу́
2nd Sing,взвинти́шь
3rd Sing,взвинти́т
1st Pl,взвинти́м
2nd Pl,взвинти́те
3rd Pl,взвинтя́т
Past M,взвинти́л
Past F,взвинти́ла
Past N,взвинти́ло
Past PL,взвинти́ли
Imp S,взвинти́
Imp PL,взвинти́те
