Infinitive,взволнова́ться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,взволнова́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взволнова́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,взволну́юсь
2nd Sing,взволну́ешься
3rd Sing,взволну́ется
1st Pl,взволну́емся
2nd Pl,взволну́етесь
3rd Pl,взволну́ются
Past M,взволнова́лся
Past F,взволнова́лась
Past N,взволнова́лось
Past PL,взволнова́лись
Imp S,взволну́йся
Imp PL,взволну́йтесь
