Infinitive,взла́мывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,взла́мывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,взла́мывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взла́мываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,взла́мывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,взла́мывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,взла́мывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,взла́мываю
2nd Sing,взла́мываешь
3rd Sing,взла́мывает
1st Pl,взла́мываем
2nd Pl,взла́мываете
3rd Pl,взла́мывают
Past M,взла́мывал
Past F,взла́мывала
Past N,взла́мывало
Past PL,взла́мывали
Imp S,взла́мывай
Imp PL,взла́мывайте
