Infinitive,взметну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,взметну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взметну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,взметну́сь
2nd Sing,взметнёшься
3rd Sing,взметнётся
1st Pl,взметнёмся
2nd Pl,взметнётесь
3rd Pl,взметну́тся
Past M,взметну́лся
Past F,взметну́лась
Past N,взметну́лось
Past PL,взметну́лись
Imp S,взметни́сь
Imp PL,взметни́тесь
