Infinitive,взвали́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,взвали́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взва́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взвали́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,взвали́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,взвалю́
2nd Sing,взва́лишь
3rd Sing,взва́лит
1st Pl,взва́лим
2nd Pl,взва́лите
3rd Pl,взва́лят
Past M,взвали́л
Past F,взвали́ла
Past N,взвали́ло
Past PL,взвали́ли
Imp S,взвали́
Imp PL,взвали́те
