Infinitive,фотографи́роваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,фотографи́рующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,фотографи́ровавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,фотографи́руясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,фотографи́ровавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,фотографи́руюсь
2nd Sing,фотографи́руешься
3rd Sing,фотографи́руется
1st Pl,фотографи́руемся
2nd Pl,фотографи́руетесь
3rd Pl,фотографи́руются
Past M,фотографи́ровался
Past F,фотографи́ровалась
Past N,фотографи́ровалось
Past PL,фотографи́ровались
Imp S,фотографи́руйся
Imp PL,фотографи́руйтесь
