Infinitive,чи́ркать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,чи́ркающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,чи́ркавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,чи́ркаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,чи́рканный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,чи́ркая
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,чи́ркав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,чи́ркавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,чи́ркаю
2nd Sing,чи́ркаешь
3rd Sing,чи́ркает
1st Pl,чи́ркаем
2nd Pl,чи́ркаете
3rd Pl,чи́ркают
Past M,чи́ркал
Past F,чи́ркала
Past N,чи́ркало
Past PL,чи́ркали
Imp S,чи́ркай
Imp PL,чи́ркайте
