Infinitive,чита́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,чита́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,чита́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,чита́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,чита́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,чита́юсь
2nd Sing,чита́ешься
3rd Sing,чита́ется
1st Pl,чита́емся
2nd Pl,чита́етесь
3rd Pl,чита́ются
Past M,чита́лся
Past F,чита́лась
Past N,чита́лось
Past PL,чита́лись
Imp S,чита́йся
Imp PL,чита́йтесь
