Infinitive,чиха́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,чиха́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,чиха́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,чиха́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,чиха́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,чиха́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,чиха́ю
2nd Sing,чиха́ешь
3rd Sing,чиха́ет
1st Pl,чиха́ем
2nd Pl,чиха́ете
3rd Pl,чиха́ют
Past M,чиха́л
Past F,чиха́ла
Past N,чиха́ло
Past PL,чиха́ли
Imp S,чиха́й
Imp PL,чиха́йте
