Infinitive,чи́стить
Zaliznyak Class,4a[②]
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,чи́стящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,чи́стивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,чи́стимый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,чи́щенный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,чи́стя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,чи́стив
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,чи́стивши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,чи́щу
2nd Sing,чи́стишь
3rd Sing,чи́стит
1st Pl,чи́стим
2nd Pl,чи́стите
3rd Pl,чи́стят
Past M,чи́стил
Past F,чи́стила
Past N,чи́стило
Past PL,чи́стили
Imp S,чи́сти
Imp PL,чи́стите
