Infinitive,чихну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,чихну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,чихну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,чихну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,чихну́
2nd Sing,чихнёшь
3rd Sing,чихнёт
1st Pl,чихнём
2nd Pl,чихнёте
3rd Pl,чихну́т
Past M,чихну́л
Past F,чихну́ла
Past N,чихну́ло
Past PL,чихну́ли
Imp S,чихни́
Imp PL,чихни́те
