Infinitive,чи́ркнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,чи́ркнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,чи́ркнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,чи́ркнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,чи́ркну
2nd Sing,чи́ркнешь
3rd Sing,чи́ркнет
1st Pl,чи́ркнем
2nd Pl,чи́ркнете
3rd Pl,чи́ркнут
Past M,чи́ркнул
Past F,чи́ркнула
Past N,чи́ркнуло
Past PL,чи́ркнули
Imp S,чи́ркни
Imp PL,чи́ркните
