Infinitive,чи́слиться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,чи́слящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,чи́слившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,чи́слясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,чи́слившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,чи́слюсь
2nd Sing,чи́слишься
3rd Sing,чи́слится
1st Pl,чи́слимся
2nd Pl,чи́слитесь
3rd Pl,чи́слятся
Past M,чи́слился
Past F,чи́слилась
Past N,чи́слилось
Past PL,чи́слились
Imp S,чи́слись
Imp PL,чи́слитесь
