Infinitive,чини́ть
Zaliznyak Class,4c④
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,чи́нящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,чини́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,чини́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,чи́ненный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,чиня́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,чини́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,чини́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,чиню́
2nd Sing,чи́нишь
3rd Sing,чи́нит
1st Pl,чи́ним
2nd Pl,чи́ните
3rd Pl,чи́нят
Past M,чини́л
Past F,чини́ла
Past N,чини́ло
Past PL,чини́ли
Imp S,чини́
Imp PL,чини́те
