Infinitive,чири́кать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,чири́кающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,чири́кавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,чири́кая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,чири́кав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,чири́кавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,чири́каю
2nd Sing,чири́каешь
3rd Sing,чири́кает
1st Pl,чири́каем
2nd Pl,чири́каете
3rd Pl,чири́кают
Past M,чири́кал
Past F,чири́кала
Past N,чири́кало
Past PL,чири́кали
Imp S,чири́кай
Imp PL,чири́кайте
