Infinitive,хны́кать
Zaliznyak Class,6a // 1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,хны́чущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,хны́кающий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,хны́кавший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,хны́ча
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,short
PART:4:Participle Text,хны́кая
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,хны́кав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,хны́кавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,хны́чу
2nd Sing,хны́чешь
3rd Sing,хны́чет
1st Pl,хны́чем
2nd Pl,хны́чете
3rd Pl,хны́чут
Past M,хны́кал
Past F,хны́кала
Past N,хны́кало
Past PL,хны́кали
Imp S,хны́чь
Imp PL,хны́чьте
