Infinitive,перепу́тать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перепу́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перепу́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перепу́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перепу́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перепу́таю
2nd Sing,перепу́таешь
3rd Sing,перепу́тает
1st Pl,перепу́таем
2nd Pl,перепу́таете
3rd Pl,перепу́тают
Past M,перепу́тал
Past F,перепу́тала
Past N,перепу́тало
Past PL,перепу́тали
Imp S,перепу́тай
Imp PL,перепу́тайте
