Infinitive,пере́ться
Zaliznyak Class,9b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пру́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пёршийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пёршись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пру́сь
2nd Sing,прёшься
3rd Sing,прётся
1st Pl,прёмся
2nd Pl,прётесь
3rd Pl,пру́тся
Past M,пёрся
Past F,пёрлась
Past N,пёрлось
Past PL,пёрлись
Imp S,при́сь
Imp PL,при́тесь
