Infinitive,перегну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перегну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перегну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,перегну́сь
2nd Sing,перегнёшься
3rd Sing,перегнётся
1st Pl,перегнёмся
2nd Pl,перегнётесь
3rd Pl,перегну́тся
Past M,перегну́лся
Past F,перегну́лась
Past N,перегну́лось
Past PL,перегну́лись
Imp S,перегни́сь
Imp PL,перегни́тесь
