Infinitive,перелома́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перелома́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перело́манный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перелома́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перелома́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перелома́ю
2nd Sing,перелома́ешь
3rd Sing,перелома́ет
1st Pl,перелома́ем
2nd Pl,перелома́ете
3rd Pl,перелома́ют
Past M,перелома́л
Past F,перелома́ла
Past N,перелома́ло
Past PL,перелома́ли
Imp S,перелома́й
Imp PL,перелома́йте
