Infinitive,передви́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,передви́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,передви́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,передви́нусь
2nd Sing,передви́нешься
3rd Sing,передви́нется
1st Pl,передви́немся
2nd Pl,передви́нетесь
3rd Pl,передви́нутся
Past M,передви́нулся
Past F,передви́нулась
Past N,передви́нулось
Past PL,передви́нулись
Imp S,передви́нься
Imp PL,передви́ньтесь
