Infinitive,перестреля́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перестреля́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перестре́лянный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перестреля́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перестреля́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перестреля́ю
2nd Sing,перестреля́ешь
3rd Sing,перестреля́ет
1st Pl,перестреля́ем
2nd Pl,перестреля́ете
3rd Pl,перестреля́ют
Past M,перестреля́л
Past F,перестреля́ла
Past N,перестреля́ло
Past PL,перестреля́ли
Imp S,перестреля́й
Imp PL,перестреля́йте
