Infinitive,пересо́хнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пересо́хший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пересо́хши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пересо́хну
2nd Sing,пересо́хнешь
3rd Sing,пересо́хнет
1st Pl,пересо́хнем
2nd Pl,пересо́хнете
3rd Pl,пересо́хнут
Past M,пересо́х
Past F,пересо́хла
Past N,пересо́хло
Past PL,пересо́хли
Imp S,пересо́хни
Imp PL,пересо́хните
