Infinitive,перевоспита́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перевоспита́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перевоспи́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перевоспита́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перевоспита́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перевоспита́ю
2nd Sing,перевоспита́ешь
3rd Sing,перевоспита́ет
1st Pl,перевоспита́ем
2nd Pl,перевоспита́ете
3rd Pl,перевоспита́ют
Past M,перевоспита́л
Past F,перевоспита́ла
Past N,перевоспита́ло
Past PL,перевоспита́ли
Imp S,перевоспита́й
Imp PL,перевоспита́йте
