Infinitive,переду́мать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переду́мавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переду́манный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переду́мав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переду́мавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переду́маю
2nd Sing,переду́маешь
3rd Sing,переду́мает
1st Pl,переду́маем
2nd Pl,переду́маете
3rd Pl,переду́мают
Past M,переду́мал
Past F,переду́мала
Past N,переду́мало
Past PL,переду́мали
Imp S,переду́май
Imp PL,переду́майте
