Infinitive,переломи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переломи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перело́мленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переломи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переломи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переломлю́
2nd Sing,перело́мишь
3rd Sing,перело́мит
1st Pl,перело́мим
2nd Pl,перело́мите
3rd Pl,перело́мят
Past M,переломи́л
Past F,переломи́ла
Past N,переломи́ло
Past PL,переломи́ли
Imp S,переломи́
Imp PL,переломи́те
