Infinitive,перетя́гивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перетя́гивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перетя́гивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перетя́гиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перетя́гивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,перетя́гивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,перетя́гивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,перетя́гиваю
2nd Sing,перетя́гиваешь
3rd Sing,перетя́гивает
1st Pl,перетя́гиваем
2nd Pl,перетя́гиваете
3rd Pl,перетя́гивают
Past M,перетя́гивал
Past F,перетя́гивала
Past N,перетя́гивало
Past PL,перетя́гивали
Imp S,перетя́гивай
Imp PL,перетя́гивайте
